Delito,SubDelito,Fecha,Victima,SubVictima,Edad,Edad,Genero,Nacionalidad,Provincia,Distrito,
ASALTO,ARMA BLANCA,2021-01-07,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-08,03:00:00 - 05:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,LIMON,GUACIMO,
ASALTO,ARMA BLANCA,2021-01-11,12:00:00 - 14:59:59,VEHICULO,OTRO O INDETERMINADO [VEHICULO],Menor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-11,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,ESPANA,PUNTARENAS,OSA,
ASALTO,ARMA BLANCA,2021-01-12,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,GOLFITO,
ASALTO,ARMA BLANCA,2021-01-14,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,LIMON,SIQUIRRES,
ASALTO,ARMA BLANCA,2021-01-14,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-15,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-15,18:00:00 - 20:59:59,EDIFICACION,SALA DE BELLEZA [EDIFICACION],Mayor de edad,HOMBRE,NICARAGUA,GUANACASTE,CARRILLO,
ASALTO,ARMA BLANCA,2021-01-17,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-18,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-19,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,GOICOECHEA,
ASALTO,ARMA BLANCA,2021-01-19,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,DESAMPARADOS,
ASALTO,ARMA BLANCA,2021-01-22,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,GOICOECHEA,
ASALTO,ARMA BLANCA,2021-01-23,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,DESAMPARADOS,
ASALTO,ARMA BLANCA,2021-01-27,18:00:00 - 20:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,PUNTARENAS,
ASALTO,ARMA BLANCA,2021-01-15,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-02-05,18:00:00 - 20:59:59,EDIFICACION,FARMACIA [EDIFICACION],Mayor de edad,MUJER,COSTA RICA,CARTAGO,OREAMUNO,
ASALTO,ARMA BLANCA,2021-02-07,15:00:00 - 17:59:59,VEHICULO,SERVICIO PUBLICO/TAXI LEGAL O PIRATA/AUTOBUS [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,GUANACASTE,LIBERIA,
ASALTO,ARMA BLANCA,2021-02-06,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
ASALTO,ARMA BLANCA,2021-02-07,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-02-18,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SANTA ANA,
ASALTO,ARMA BLANCA,2021-02-19,18:00:00 - 20:59:59,PERSONA,PASAJERO DE TRANSPORTE PUBLICO [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,CURRIDABAT,
ASALTO,ARMA BLANCA,2021-02-19,00:00:00 - 02:59:59,PERSONA,TAXISTA [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,PUNTARENAS,
ASALTO,ARMA BLANCA,2021-02-20,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,PUNTARENAS,PUNTARENAS,
ASALTO,ARMA BLANCA,2021-02-21,00:00:00 - 02:59:59,VEHICULO,SERVICIO PUBLICO/TAXI LEGAL O PIRATA/AUTOBUS [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,ALAJUELITA,
ASALTO,ARMA BLANCA,2021-02-22,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,GUANACASTE,LIBERIA,
ASALTO,ARMA BLANCA,2021-01-01,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,GOICOECHEA,
ASALTO,ARMA BLANCA,2021-01-01,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-01,00:00:00 - 02:59:59,PERSONA,SIN CLASIFICAR [PERSONA],Mayor de edad,HOMBRE,PANAMA,PUNTARENAS,COTO BRUS,
ASALTO,ARMA BLANCA,2021-01-04,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Desconocido,MUJER,COSTA RICA,SAN JOSE,MONTES DE OCA,
ASALTO,ARMA BLANCA,2021-01-05,03:00:00 - 05:59:59,VEHICULO,SERVICIO PUBLICO/TAXI LEGAL O PIRATA/AUTOBUS [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,SANTA BARBARA,
ASALTO,ARMA BLANCA,2021-01-05,18:00:00 - 20:59:59,OTROS,BICICLETA [OTROS],Mayor de edad,MUJER,COSTA RICA,HEREDIA,SARAPIQUI,
ASALTO,ARMA BLANCA,2021-01-07,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,VENEZUELA,ALAJUELA,ALAJUELA,
ASALTO,ARMA BLANCA,2021-01-11,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,LIMON,SIQUIRRES,
ASALTO,ARMA BLANCA,2021-01-13,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Menor de edad,MUJER,COSTA RICA,SAN JOSE,DESAMPARADOS,
ASALTO,ARMA BLANCA,2021-01-14,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,PARAISO,
ASALTO,ARMA BLANCA,2021-01-14,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-12,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Adulto Mayor,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-22,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
ASALTO,ARMA BLANCA,2021-01-26,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,PUNTARENAS,
ASALTO,ARMA BLANCA,2021-01-26,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Adulto Mayor,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-27,06:00:00 - 08:59:59,PERSONA,USUARIO CAJERO AUTOMATICO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,VASQUEZ DE CORONADO,
ASALTO,ARMA BLANCA,2021-01-30,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-31,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-02-02,18:00:00 - 20:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,LA UNION,
ASALTO,ARMA BLANCA,2021-02-07,09:00:00 - 11:59:59,EDIFICACION,PULPERIA/ABASTECEDOR/MINISUPER/EXPENDIO CARNE [EDIFICACION],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,PEREZ ZELEDON,
ASALTO,ARMA BLANCA,2021-02-09,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,CARTAGO,LA UNION,
ASALTO,ARMA BLANCA,2021-02-12,09:00:00 - 11:59:59,VEHICULO,AUTOMOVIL/MENSAJERO/COBRADOR [VEHICULO],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,ALAJUELITA,
ASALTO,ARMA BLANCA,2021-02-15,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,LIMON,LIMON,
ASALTO,ARMA BLANCA,2021-02-17,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,MONTES DE OCA,
ASALTO,ARMA BLANCA,2021-02-17,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Desconocido,HOMBRE,COSTA RICA,SAN JOSE,MONTES DE OCA,
ASALTO,ARMA BLANCA,2021-02-20,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,PEREZ ZELEDON,
ASALTO,ARMA BLANCA,2021-02-18,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,ESCAZU,
ASALTO,ARMA BLANCA,2021-02-12,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,BARVA,
ASALTO,ARMA BLANCA,2021-02-11,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,SAN CARLOS,
ASALTO,ARMA BLANCA,2021-03-08,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Desconocido,MUJER,COSTA RICA,SAN JOSE,GOICOECHEA,
ASALTO,ARMA BLANCA,2021-03-08,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,CANADA,GUANACASTE,NICOYA,
ASALTO,ARMA BLANCA,2021-03-19,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Adulto Mayor,DESCONOCIDO,COSTA RICA,HEREDIA,HEREDIA,
ASALTO,ARMA BLANCA,2021-03-21,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,DESAMPARADOS,
